food_name,food_type,amount,unit,calories(g),fats(g),carbs(g),protein(g),saturated_fat(g),cholesterol(mg),sodium(mg),dietary_fiber(g),sugars(g),calcium(mg),iron(mg),potassium(mg),vitamin_A(mcg),vitamin_C(mg)
đường,gia vị,513,gram,1985,0,512.9,0,0,0,0,0,512.54,5,0.05,10,0,0
đường,gia vị,515,gram,1993,0,514.9,0,0,0,0,0,514.54,5,0.05,10,0,0
đường nâu,gia vị,1,gram,4,0,0.97,0,0,0,0,0,0.96,1,0.02,3,0,0
đường nâu,gia vị,3,gram,11,0,2.92,0,0,0,1,0,2.89,3,0.06,10,0,0
đường nâu,gia vị,5,gram,19,0,4.87,0,0,0,2,0,4.81,4,0.1,17,0,0
đường nâu,gia vị,9,gram,34,0,8.76,0,0,0,4,0,8.66,8,0.17,31,0,0
đường nâu,gia vị,10,gram,38,0,9.73,0,0,0,4,0,9.62,8,0.19,35,0,0
đường nâu,gia vị,11,gram,41,0,10.71,0,0,0,4,0,10.58,9,0.21,38,0,0
đường nâu,gia vị,13,gram,49,0,12.65,0,0,0,5,0,12.51,11,0.25,45,0,0
đường nâu,gia vị,15,gram,57,0,14.6,0,0,0,5,0,14.43,13,0.29,52,0,0
đường nâu,gia vị,19,gram,72,0,18.49,0,0,0,7,0,18.28,16,0.36,66,0,0
đường nâu,gia vị,20,gram,75,0,19.47,0,0,0,7,0,19.24,17,0.38,69,0,0
đường nâu,gia vị,21,gram,79,0,20.44,0,0,0,7,0,20.2,18,0.4,73,0,0
